序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,週票數變動率,累計銷售票數,累計銷售金額(萬),count
186,美國,殲獄行動,2021/12/24,車庫娛樂股份有限公司,RELAY MOTION KFT.,4,-92.86%,242,5.616,1
187,日本,由宇子的天秤,2021/12/17,佳映娛樂國際股份有限公司,"TOEL COMPANY,LTD.",3,-60.00%,435,9.9824,1
188,中華民國,詭祭,2021/12/3,光譜映像有限公司,"臺北市政府,Lemming Film,THE NETHERLANDS FILM FUND (THE NETHERLANDS FILM PRODUCTION INCENTIVE),台北市電影委員會,財團法人台北市文化基金會,臺北市政府文化局,高雄人",7,-97.56%,2898,70.4581,1
189,美國,月光光新慌慌：萬聖殺,2021/10/22,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,2,-77.21%,21720,518.8535,1
190,美國,殺手保鑣2,2021/10/8,海樂影業股份有限公司,"MILLENNIUM MEDIA,INC.",3,-88.89%,38368,882.9219,1
191,美國,疾凍救援,2021/9/24,香港商甲上娛樂有限公司台灣分公司,Ice Road Productions LLC,3,-67.34%,32045,714.6982,1
192,西班牙,蝸牛之家,2021/9/3,天馬行空數位有限公司,"CASTELAＯ PICTURES,S.L.U.",1,-5.00%,479,10.0168,1
193,中華民國,期末考,2021/8/20,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,1,0.00%,5337,113.3482,1
194,美國,黑寡婦,2021/7/14,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",1,57.14%,191523,4800.9334,1
195,中華民國,男人與他的海,2021/4/1,牽猴子整合行銷股份有限公司,黑糖媒體創意有限公司,1,0.00%,23762,535.3606,1
196,中國大陸,藍宇,2001/12/8,香港商甲上娛樂有限公司台灣分公司,永寧工作室,2,-62.03%,3662,89.1267,1
197,法國,柏格曼的島,2021/12/25,東昊影業有限公司,Kinology,2,364.29%,237,4.951,1
198,南韓,作家我就爛,2021/12/17,車庫娛樂股份有限公司,RELAY MOTION KFT.,4,-98.30%,1618,37.9448,1
199,日本,在回家之後重新開始,2021/12/17,蜜蜂工房創藝有限公司,Hakuhodo DY Music & Pictures Inc.,1,-68.18%,60,1.5607,1
200,美國,獵殺414區,2021/12/17,車庫娛樂股份有限公司,RELAY MOTION KFT.,2,-100.00%,312,7.0616,1
201,挪威,北海浩劫,2021/12/10,車庫娛樂股份有限公司,TRUSTNORDISK APS,11,-64.12%,14719,346.7466,1
202,中華民國,有你相伴的旅程,2021/12/10,車庫娛樂股份有限公司,財團法人天主教失智老人社會福利基金會,3,-79.22%,6768,147.8219,1
203,日本,魔仿犯,2021/12/10,采昌國際多媒體股份有限公司,"Toho Co.,Ltd.",6,-75.57%,7307,172.8367,1
204,美國,ANNETTE：星夢戀歌,2021/12/10,采昌國際多媒體股份有限公司,EUROSPACE,2,-78.04%,2109,44.8967,1
205,美國,終極生存戰,2021/12/10,車庫娛樂股份有限公司,RELAY MOTION KFT.,1,-94.29%,1014,22.5862,1
206,日本,魔法少女☆伊莉雅：Licht 無名的少女,2021/12/3,薩摩亞商羚邦(亞洲)有限公司台灣分公司,KADOKAWA CORPORATION,2,-91.74%,4455,110.1742,1
207,英國,今晚來點史密斯,2021/12/3,造次文化有限公司,WESTEND FILMS LTD,1,-95.65%,793,18.4361,1
208,義大利,達賴喇嘛:大腦故事,2021/11/12,聯影企業股份有限公司,MAKARAMPA S.R.L.,2,-61.54%,6952,150.3616,1
209,中華民國,詭扯,2021/11/12,車庫娛樂股份有限公司,"良人行影業有限公司,Arthur Film Inc. (?)????,車庫娛樂股份有限公司,麻吉砥加電影有限公司,聚星文創娛樂事業股份有限公司,樂到家國際娛樂股份有限公司,宏將傳媒股份有限公司",2,-84.02%,60114,1450.7309,1
210,日本,總編的復仇,2021/11/5,可樂藝術文創股份有限公司,"Shochiku Co.,Ltd.",1,-66.67%,474,10.3749,1
211,南韓,霹靂油俠,2021/10/1,海樂影業股份有限公司,"FINECUT CO.,LTD.",2,-84.83%,2688,45.4306,1
212,香港,金錢帝國：追虎擒龍,2021/9/24,華映娛樂股份有限公司,"耳東影業(北京)有限公司,墨客行(北京)有限公司,天津貓眼微影文化傳媒有限公司,英皇影業有限公司,北京源上文化傳媒有限公司,上海中延文化傳媒有限公司,南京江山策影業有限公司,星王朝有限公司",2,-47.41%,4714,98.7136,1
213,美國,操控,2021/5/7,威視股份有限公司,GEM ENTERTAINMENT KFT.,1,-70.15%,8048,176.2609,1
214,日本,橫山家之味,2009/4/3,傳影互動股份有限公司,(法國) CELLULOID DREAMS SAS,1,0.00%,1260,25.5865,1
215,美國,麥迪遜之橋,1995/10/7,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,-92.04%,1004,22.6011,1
