序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,週票數變動率,累計銷售票數,累計銷售金額
24,法國,最後一件晚禮服的秘密,2022/2/4,海鵬影業有限公司,ORANGE STUDIO,14,-60.17%,"1,759","379,255"
25,西班牙,慾望法則 經典數位修復,2022/2/4,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,6,-63.95%,388,"81,085"
26,西班牙,瀕臨崩潰邊緣的女人 經典數位修復,2022/2/4,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,6,-74.77%,445,"94,272"
27,西班牙,我造了什麼孽 經典數位修復,2022/2/4,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,6,-30.95%,342,"71,470"
28,西班牙,修女夜難熬 經典數位修復,2022/2/4,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,6,-71.70%,262,"53,775"
29,捷克,勇鼠闖天堂,2022/2/4,可樂藝術文創股份有限公司,CHARADES,27,-88.24%,"1,105","244,878"
30,美國,終極攻佔,2022/2/4,車庫娛樂股份有限公司,RELAY MOTION KFT.,39,-100.00%,"2,853","636,410"
31,美國,月球隕落,2022/2/3,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Accelerated Global Content,LLC",84,-60.87%,"195,534","49,849,020"
32,中華民國,嗨！神獸,2022/2/1,滿滿額娛樂股份有限公司,滿滿額娛樂股份有限公司##華納集團##凱擘影藝股份有限公司##百聿數碼創意股份有限公司##硯石(廈門)文化傳媒有限公司##神州娛樂股份有限公司,51,-91.90%,"7,130","1,664,500"
33,中華民國,我吃了那男孩一整年的早餐,2022/1/28,華映娛樂股份有限公司,"華映娛樂股份有限公司,天際娛樂股份有限公司,星空飛騰國際娛樂有限公司,中環國際娛樂事業股份有限公司,星泰國際娛樂股份有限公司,三皇生物科技股份有限公司,樂到家國際娛樂股份有限公司,得藝文創國際股份有限公司,艾迪昇傳播事業有限公司",96,-40.22%,"264,611","63,974,499"
34,美國,歡樂好聲音 2,2022/1/28,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,98,-43.15%,"92,708","22,252,782"
35,中華民國,素還真,2022/1/28,威視股份有限公司,"品蓮觀真電影股份有限公司,霹靂國際多媒體股份有限公司",93,-54.06%,"91,402","21,795,449"
36,美國,夜路,2022/1/28,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",90,-72.69%,"40,521","10,255,527"
37,南韓,極速快遞,2022/1/28,車庫娛樂股份有限公司,RELAY MOTION KFT.,55,-86.94%,"27,062","6,368,398"
